h3_index,hour,dow,lat,lon,street_light_coverage,police_station_dist_m,crowd_density,road_quality,cctv_coverage,historical_incident_rate,is_night,time_risk_score,safety_score
893cf2c60afffff,18,3,22.572589,88.382399,0.508,1553.2,0.7955,0.6346,0.2239,0.1653,0.5,0.2766,0.5181
893cf2c6a5bffff,1,2,22.535463,88.426255,0.6239,3877.7,0.0657,0.6486,0.248,0.8274,1.0,0.9455,0.1954
893cf28901bffff,6,0,22.617927,88.407269,0.5759,1433.7,0.2389,0.6976,0.4681,0.7368,0.5,0.482,0.4268
893cf2c6107ffff,10,4,22.575395,88.402157,0.6831,1925.6,0.7306,0.5438,0.3649,0.0652,0.0,0.1356,0.6242
893cf2c6c3bffff,1,0,22.580193,88.42879,0.652,1409.7,0.1276,0.5524,0.3654,0.8734,1.0,0.9254,0.365
893cf2d4bd7ffff,15,6,22.608318,88.354007,0.6653,2325.5,0.4828,0.483,0.2942,0.1775,0.0,0.1276,0.545
893cf2c6387ffff,19,6,22.560675,88.391863,0.504,3230.2,0.8235,0.5571,0.2759,0.3809,0.5,0.2255,0.467
893cf2d4ddbffff,11,1,22.641666,88.337643,0.7005,6394.1,0.591,0.6389,0.307,0.0,0.0,0.1085,0.4618
893cf28b35bffff,10,4,22.648102,88.390051,0.7239,2238.7,0.7124,0.6179,0.2763,0.4494,0.0,0.1426,0.5776
893cf2d4c4bffff,3,4,22.624951,88.320482,0.6026,6133.0,0.1629,0.6989,0.2684,1.0252,1.0,0.8744,0.1797
893cf2c708bffff,12,6,22.520245,88.3335,0.6317,453.0,0.5136,0.6319,0.3674,0.6572,0.0,0.1541,0.5868
893cf289617ffff,18,0,22.615121,88.387508,0.5308,1946.0,0.9138,0.6254,0.2898,0.3542,0.5,0.2553,0.5535
893cf2c7173ffff,21,6,22.517502,88.364422,0.5501,2814.9,0.3834,0.7264,0.2641,0.9829,1.0,0.5881,0.3495
893cf2d5d67ffff,3,1,22.584425,88.322253,0.5219,3756.0,0.0956,0.5533,0.1705,0.8451,1.0,0.9457,0.1607
893cf28940fffff,18,1,22.632018,88.395224,0.7398,584.8,0.8213,0.8431,0.6677,0.1265,0.5,0.2543,0.7533
